,fips,lags
0,34003.0,1.0
1,12071.0,1.0
2,25017.0,1.0
3,13121.0,1.0
4,53061.0,1.0
5,53053.0,1.0
6,36119.0,1.0
7,33009.0,1.0
8,36061.0,0
9,53033.0,1.0
10,12081.0,1.0
11,21067.0,2.0
12,6037.0,2.0
13,6013.0,2.0
14,15003.0,2.0
15,45055.0,2.0
16,48157.0,2.0
17,41067.0,2.0
18,36059.0,2.0
19,13067.0,2.0
20,6001.0,3.0
21,48453.0,3.0
22,13135.0,3.0
23,36087.0,3.0
24,6067.0,3.0
25,6085.0,3.0
26,19103.0,3.0
27,8037.0,3.0
28,25003.0,3.0
29,6081.0,3.0
30,37183.0,3.0
31,6065.0,3.0
32,36079.0,3.0
33,6075.0,3.0
34,51059.0,4.0
35,24033.0,4.0
36,6061.0,4.0
37,25025.0,4.0
38,25021.0,4.0
39,8035.0,4.0
40,53035.0,4.0
41,42091.0,4.0
42,48085.0,4.0
43,4021.0,5.0
44,11001.0,5.0
45,53037.0,5.0
46,36103.0,5.0
47,8051.0,5.0
48,36111.0,5.0
49,13089.0,5.0
50,41043.0,6.0
51,12001.0,6.0
52,10003.0,6.0
53,47037.0,6.0
54,20091.0,6.0
55,12011.0,6.0
56,53057.0,6.0
57,6077.0,6.0
58,48113.0,6.0
59,47187.0,6.0
60,33015.0,6.0
61,32031.0,6.0
62,35049.0,6.0
63,2020.0,6.0
64,40143.0,6.0
65,8059.0,7.0
66,8041.0,7.0
67,53011.0,7.0
68,13057.0,7.0
69,6059.0,7.0
70,51095.0,7.0
71,26163.0,7.0
72,17097.0,7.0
73,29189.0,7.0
74,24005.0,7.0
75,6041.0,7.0
76,34013.0,7.0
77,41047.0,7.0
78,42045.0,7.0
79,9005.0,7.0
80,17031.0,7.0
81,9001.0,7.0
82,36071.0,7.0
83,22071.0,7.0
84,46099.0,7.0
85,27053.0,7.0
86,28035.0,7.0
87,35001.0,7.0
88,1101.0,7.0
89,32003.0,7.0
90,6111.0,7.0
91,12099.0,7.0
92,6107.0,7.0
93,39035.0,7.0
94,12086.0,7.0
95,53067.0,7.0
96,8031.0,7.0
97,13015.0,7.0
98,12127.0,7.0
99,51013.0,7.0
100,17089.0,8.0
101,26125.0,8.0
102,21111.0,8.0
103,37101.0,8.0
104,55063.0,8.0
105,13113.0,8.0
106,22109.0,8.0
107,55079.0,8.0
108,55025.0,8.0
109,55133.0,8.0
110,1073.0,8.0
111,21097.0,8.0
112,56033.0,8.0
113,22051.0,8.0
114,24025.0,8.0
115,25009.0,8.0
116,53063.0,8.0
117,39155.0,8.0
118,53029.0,8.0
119,48439.0,8.0
120,1125.0,8.0
121,17111.0,8.0
122,8001.0,8.0
123,22017.0,8.0
124,49035.0,8.0
125,36001.0,8.0
126,24031.0,8.0
